"P id","property label","P domain id","domain","P range id","range",,"TP id","typed property label","typed property example","TP FOL 1","TP FOL 2","TP FOL 3","shortcut statement",,"NTP id","negative typed property label","negative typed property example","NTP FOL 1","NTP FOL 2"
"P5","consists of (forms part of)","E3","Condition State","E3","Condition State",,"TP5","consists of condition state of type","corroded condition of metal object consists of pitting","TP5(x,y) ⇒ E3(x)","TP5(x,y) ⇒ E55(y)","TP5(x,y) ⇔ (∃ z)[E3(z) ∧ P5(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E3 Condition State, _P5 consists of (forms part of)_, E3 Condition State, _P2 has type_, E55 Type",,"NTP5","does not consist of condition state of type","corroded condition of metal object does not consist of pitting","NTP5(x,y) ⇒ E3(x)","NTP5(x,y) ⇒ E55(y)"
"P7","took place at (witnessed)","E4","Period","E53","Place",,"TP7","took place at place of type","battle took place at a city","TP7(x,y) ⇒ E4(x)","TP7(x,y) ⇒ E55(y)","TP7(x,y) ⇔ (∃ z)[E53(z) ∧ P7(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E4 Period, _P7 took place at (witnessed)_, E53 Place, _P2 has type_, E55 Type",,"NTP7","did not take place at place of type","battle did not take place at a city","NTP7(x,y) ⇒ E4(x)","NTP7(x,y) ⇒ E55(y)"
"P8","took place on or within (witnessed)","E4","Period","E18","Physical Thing",,"TP8","took place on or within physical thing of type","Nelson died on a ship","TP8(x,y) ⇒ E4(x)","TP8(x,y) ⇒ E55(y)","TP8(x,y) ⇔ (∃ z)[E18(z) ∧ P8(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E4 Period, _P8 took place on or within (witnessed)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP8","did not take place on or within physical thing of type","Nelson did not die on a coach","NTP8(x,y) ⇒ E4(x)","NTP8(x,y) ⇒ E55(y)"
"P12","occurred in the presence of (was present at)","E5","Event","E77","Persistent Item",,"TP12","occurred in the presence of persistent item of type","Kennedy was assassinated in his presidential car","TP12(x,y) ⇒ E5(x)","TP12(x,y) ⇒ E55(y)","TP12(x,y) ⇔ (∃ z)[E77(z) ∧ P12(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E5 Event, _P12 occurred in the presence of (was present at)_, E77 Persistent Item, _P2 has type_, E55 Type",,"NTP12","occurred not in the presence of persistent item of type","Kennedy was assassinated not on his bike","NTP12(x,y) ⇒ E5(x)","NTP12(x,y) ⇒ E55(y)"
"P111","added (was added by)","E79","Part Addition","E18","Physical Thing",,"TP111","added physical thing of type","rebinding added blind tooling decoration to the book","TP111(x,y) ⇒ E79(x)","TP111(x,y) ⇒ E55(y)","TP111(x,y) ⇔ (∃ z)[E18(z) ∧ P111(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E79 Part Addition, _P111 added (was added by)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP111","did not add physical thing of type","rebinding did not add gold tooling to the book","NTP111(x,y) ⇒ E79(x)","NTP111(x,y) ⇒ E55(y)"
"P113","removed (was removed by)","E80","Part Removal","E18","Physical Thing",,"TP113","removed physical thing of type","rebinding removed boards from the book","TP113(x,y) ⇒ E80(x)","TP113(x,y) ⇒ E55(y)","TP113(x,y) ⇔ (∃ z)[E18(z) ∧ P113(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E80 Part Removal, _P113 removed (was removed by)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP113","did not remove physical thing of type","rebinding did not remove boards from the book","NTP113(x,y) ⇒ E80(x)","NTP113(x,y) ⇒ E55(y)"
"P11","had participant (participated in)","E5","Event","E39","Actor",,"TP11","had participant of type",,"TP11(x,y) ⇒ E5(x)","TP11(x,y) ⇒ E55(y)","TP11(x,y) ⇔ (∃ z)[E39(z) ∧ P11(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E5 Event, _P11 had participant (participated in)_, E39 Actor, _P2 has type_, E55 Type",,"NTP11","did not have participant of type",,"NTP11(x,y) ⇒ E5(x)","NTP11(x,y) ⇒ E55(y)"
"P14","carried out by (performed)","E7","Activity","E39","Actor",,"TP14","carried out by actor of type",,"TP14(x,y) ⇒ E7(x)","TP14(x,y) ⇒ E55(y)","TP14(x,y) ⇔ (∃ z)[E39(z) ∧ P14(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E7 Activity, _P14 carried out by (performed)_, E39 Actor, _P2 has type_, E55 Type",,"NTP14","was not carried out by actor of type",,"NTP14(x,y) ⇒ E7(x)","NTP14(x,y) ⇒ E55(y)"
"P22","transferred title to (acquired title through)","E8","Acquisition","E39","Actor",,"TP22","transferred title to actor of type",,"TP22(x,y) ⇒ E8(x)","TP22(x,y) ⇒ E55(y)","TP22(x,y) ⇔ (∃ z)[E39(z) ∧ P22(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E8 Acquisition, _P22 transferred title to (acquired title through)_, E39 Actor, _P2 has type_, E55 Type",,"NTP22","did not transfer title to actor of type",,"NTP22(x,y) ⇒ E8(x)","NTP22(x,y) ⇒ E55(y)"
"P23","transferred title from (surrendered title through)","E8","Acquisition","E39","Actor",,"TP23","transferred title from actor of type",,"TP23(x,y) ⇒ E8(x)","TP23(x,y) ⇒ E55(y)","TP23(x,y) ⇔ (∃ z)[E39(z) ∧ P23(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E8 Acquisition, _P23 transferred title from (surrendered title through)_, E39 Actor, _P2 has type_, E55 Type",,"NTP23","did not transfer title from actor of type",,"NTP23(x,y) ⇒ E8(x)","NTP23(x,y) ⇒ E55(y)"
"P28","custody surrendered by (surrendered custody through)","E10","Transfer of Custody","E39","Actor",,"TP28","custody surrendered by actor of type",,"TP28(x,y) ⇒ E10(x)","TP28(x,y) ⇒ E55(y)","TP28(x,y) ⇔ (∃ z)[E39(z) ∧ P28(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E10 Transfer of Custody, _P28 custody surrendered by (surrendered custody through)_, E39 Actor, _P2 has type_, E55 Type",,"NTP28","custody was not surrendered by actor of type",,"NTP28(x,y) ⇒ E10(x)","NTP28(x,y) ⇒ E55(y)"
"P29","custody received by (received custody through)","E10","Transfer of Custody","E39","Actor",,"TP29","custody received by actor of type",,"TP29(x,y) ⇒ E10(x)","TP29(x,y) ⇒ E55(y)","TP29(x,y) ⇔ (∃ z)[E39(z) ∧ P29(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E10 Transfer of Custody, _P29 custody received by (received custody through)_, E39 Actor, _P2 has type_, E55 Type",,"NTP29","custody was not received by actor of type",,"NTP29(x,y) ⇒ E10(x)","NTP29(x,y) ⇒ E55(y)"
"P96","by mother (gave birth)","E67","Birth","E21","Person",,"TP96","by mother of type",,"TP96(x,y) ⇒ E67(x)","TP96(x,y) ⇒ E55(y)","TP96(x,y) ⇔ (∃ z)[E21(z) ∧ P96(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E67 Birth, _P96 by mother (gave birth)_, E21 Person, _P2 has type_, E55 Type",,"NTP96","not by mother of type",,"NTP96(x,y) ⇒ E67(x)","NTP96(x,y) ⇒ E55(y)"
"P99","dissolved (was dissolved by)","E68","Dissolution","E74","Group",,"TP99","dissolved group of type","civil war dissolved political parties","TP99(x,y) ⇒ E68(x)","TP99(x,y) ⇒ E55(y)","TP99(x,y) ⇔ (∃ z)[E74(z) ∧ P99(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E68 Dissolution, _P99 dissolved (was dissolved by)_, E74 Group, _P2 has type_, E55 Type",,"NTP99","did not dissolve group of type","civil war did not dissolve political groups","NTP99(x,y) ⇒ E68(x)","NTP99(x,y) ⇒ E55(y)"
"P143","joined (was joined by)","E85","Joining","E39","Actor",,"TP143","joined actor of type",,"TP143(x,y) ⇒ E85(x)","TP143(x,y) ⇒ E55(y)","TP143(x,y) ⇔ (∃ z)[E39(z) ∧ P143(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E85 Joining, _P143 joined (was joined by)_, E39 Actor, _P2 has type_, E55 Type",,"NTP143","did not join actor of type",,"NTP143(x,y) ⇒ E85(x)","NTP143(x,y) ⇒ E55(y)"
"P144","joined with (gained member by)","E85","Joining","E74","Group",,"TP144","joined with group of type","footballer joined a football team","TP144(x,y) ⇒ E85(x)","TP144(x,y) ⇒ E55(y)","TP144(x,y) ⇔ (∃ z)[E74(z) ∧ P144(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E85 Joining, _P144 joined with (gained member by)_, E74 Group, _P2 has type_, E55 Type",,"NTP144","did not join with group of type","footballer did not join a basketball team","NTP144(x,y) ⇒ E85(x)","NTP144(x,y) ⇒ E55(y)"
"P145","separated (left by)","E86","Leaving","E39","Actor",,"TP145","separated actor of type",,"TP145(x,y) ⇒ E86(x)","TP145(x,y) ⇒ E55(y)","TP145(x,y) ⇔ (∃ z)[E39(z) ∧ P145(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E86 Leaving, _P145 separated (left by)_, E39 Actor, _P2 has type_, E55 Type",,"NTP145","did not separate actor of type",,"NTP145(x,y) ⇒ E86(x)","NTP145(x,y) ⇒ E55(y)"
"P146","separated from (lost member by)","E86","Leaving","E74","Group",,"TP146","separated from group of type","footballer separated from a football team","TP146(x,y) ⇒ E86(x)","TP146(x,y) ⇒ E55(y)","TP146(x,y) ⇔ (∃ z)[E74(z) ∧ P146(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E86 Leaving, _P146 separated from (lost member by)_, E74 Group, _P2 has type_, E55 Type",,"NTP146","did not separate from group of type","footballer did not separate from a basketball team","NTP146(x,y) ⇒ E86(x)","NTP146(x,y) ⇒ E55(y)"
"P151","was formed from (participated  in)","E66","Formation","E74","Group",,"TP151","was formed from group of type",,"TP151(x,y) ⇒ E66(x)","TP151(x,y) ⇒ E55(y)","TP151(x,y) ⇔ (∃ z)[E74(z) ∧ P151(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E66 Formation, _P151 was formed from (participated  in)_, E74 Group, _P2 has type_, E55 Type",,"NTP151","was not formed from group of type",,"NTP151(x,y) ⇒ E66(x)","NTP151(x,y) ⇒ E55(y)"
"P142","used constituent (was used in)","E15","Identifier Assignment","E90","Symbolic Object",,"TP142","used constituent of type",,"TP142(x,y) ⇒ E15(x)","TP142(x,y) ⇒ E55(y)","TP142(x,y) ⇔ (∃ z)[E90(z) ∧ P142(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E15 Identifier Assignment, _P142 used constituent (was used in)_, E90 Symbolic Object, _P2 has type_, E55 Type",,"NTP142","did not use constituent of type",,"NTP142(x,y) ⇒ E15(x)","NTP142(x,y) ⇒ E55(y)"
"P25","moved (moved by)","E9","Move","E19","Physical Object",,"TP25","moved physical object of type","shipment contains books","TP25(x,y) ⇒ E9(x)","TP25(x,y) ⇒ E55(y)","TP25(x,y) ⇔ (∃ z)[E19(z) ∧ P25(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E9 Move, _P25 moved (moved by)_, E19 Physical Object, _P2 has type_, E55 Type",,"NTP25","did not move physical object of type","shipment does not contain hazardous materials","NTP25(x,y) ⇒ E9(x)","NTP25(x,y) ⇒ E55(y)"
"P31","has modified (was modified by)","E11","Modification","E18","Physical Thing",,"TP31","has modified physical thing of type","conservation work consolidated book boards","TP31(x,y) ⇒ E11(x)","TP31(x,y) ⇒ E55(y)","TP31(x,y) ⇔ (∃ z)[E18(z) ∧ P31(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E11 Modification, _P31 has modified (was modified by)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP31","has not modified physical thing of type","conservation work did not affect leather cover","NTP31(x,y) ⇒ E11(x)","NTP31(x,y) ⇒ E55(y)"
"P108","has produced (was produced by)","E12","Production","E24","Physical Human-Made Thing",,"TP108","has produced physical human-made thing of type","binding work produced an inboard binding","TP108(x,y) ⇒ E12(x)","TP108(x,y) ⇒ E55(y)","TP108(x,y) ⇔ (∃ z)[E24(z) ∧ P108(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E12 Production, _P108 has produced (was produced by)_, E24 Physical Human-Made Thing, _P2 has type_, E55 Type",,"NTP108","has not produced physical human-made thing of type","binding work has not produced a limp binding","NTP108(x,y) ⇒ E12(x)","NTP108(x,y) ⇒ E55(y)"
"P110","augmented (was augmented by)","E79","Part Addition","E24","Physical Human-Made Thing",,"TP110","augmented physical human-made thing of type","endleaf addition augmented an inboard binding","TP110(x,y) ⇒ E79(x)","TP110(x,y) ⇒ E55(y)","TP110(x,y) ⇔ (∃ z)[E24(z) ∧ P110(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E79 Part Addition, _P110 augmented (was augmented by)_, E24 Physical Human-Made Thing, _P2 has type_, E55 Type",,"NTP110","did not augment physical human-made thing of type","endleaf addition did not augment a limp binding","NTP110(x,y) ⇒ E79(x)","NTP110(x,y) ⇒ E55(y)"
"P112","diminished (was diminished by)","E80","Part Removal","E24","Physical Human-Made Thing",,"TP112","diminished physical human-made thing of type","endleaf removal diminished an inboard binding","TP112(x,y) ⇒ E80(x)","TP112(x,y) ⇒ E55(y)","TP112(x,y) ⇔ (∃ z)[E24(z) ∧ P112(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E80 Part Removal, _P112 diminished (was diminished by)_, E24 Physical Human-Made Thing, _P2 has type_, E55 Type",,"NTP112","did not diminish physical human-made thing of type","endleaf removal did not diminish a limp binding","NTP112(x,y) ⇒ E80(x)","NTP112(x,y) ⇒ E55(y)"
"P92","brought into existence (was brought into existence by)","E63","Beginning of Existence","E77","Persistent Item",,"TP92","brought into existence persistent item of type","binding work produced an inboard binding","TP92(x,y) ⇒ E63(x)","TP92(x,y) ⇒ E55(y)","TP92(x,y) ⇔ (∃ z)[E77(z) ∧ P92(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E63 Beginning of Existence, _P92 brought into existence (was brought into existence by)_, E77 Persistent Item, _P2 has type_, E55 Type",,"NTP92","did not bring into existence persistent item of type","binding work has not produced a limp binding","NTP92(x,y) ⇒ E63(x)","NTP92(x,y) ⇒ E55(y)"
"P94","has created (was created by)","E65","Creation","E28","Conceptual Object",,"TP94","has created conceptual object of type","iliad’s composition created epic poem","TP94(x,y) ⇒ E65(x)","TP94(x,y) ⇒ E55(y)","TP94(x,y) ⇔ (∃ z)[E28(z) ∧ P94(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E65 Creation, _P94 has created (was created by)_, E28 Conceptual Object, _P2 has type_, E55 Type",,"NTP94","has not created conceptual object of type","iliad’s composition has not created a theatre play","NTP94(x,y) ⇒ E65(x)","NTP94(x,y) ⇒ E55(y)"
"P95","has formed (was formed by)","E66","Formation","E74","Group",,"TP95","has formed group of type","elections has formed group of type government","TP95(x,y) ⇒ E66(x)","TP95(x,y) ⇒ E55(y)","TP95(x,y) ⇔ (∃ z)[E74(z) ∧ P95(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E66 Formation, _P95 has formed (was formed by)_, E74 Group, _P2 has type_, E55 Type",,"NTP95","has not formed group of type","elections has not formed group of type local government (i.e. general elections as opposed to council","NTP95(x,y) ⇒ E66(x)","NTP95(x,y) ⇒ E55(y)"
"P98","brought into life (was born)","E67","Birth","E21","Person",,"TP98","brought into life person of type",,"TP98(x,y) ⇒ E67(x)","TP98(x,y) ⇒ E55(y)","TP98(x,y) ⇔ (∃ z)[E21(z) ∧ P98(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E67 Birth, _P98 brought into life (was born)_, E21 Person, _P2 has type_, E55 Type",,"NTP98","did not bring into life person of type",,"NTP98(x,y) ⇒ E67(x)","NTP98(x,y) ⇒ E55(y)"
"P123","resulted in (resulted from)","E81","Transformation","E77","Persistent Item",,"TP123","resulted in persistent item of type","the church refurbishment resulted in accommodation","TP123(x,y) ⇒ E81(x)","TP123(x,y) ⇒ E55(y)","TP123(x,y) ⇔ (∃ z)[E77(z) ∧ P123(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E81 Transformation, _P123 resulted in (resulted from)_, E77 Persistent Item, _P2 has type_, E55 Type",,"NTP123","did not result in persistent item of type","church refurbishment did not result in a school","NTP123(x,y) ⇒ E81(x)","NTP123(x,y) ⇒ E55(y)"
"P93","took out of existence (was taken out of existence by)","E64","End of Existence","E77","Persistent Item",,"TP93","took out of existence persistent item of type","volcano eruption destroyed houses","TP93(x,y) ⇒ E64(x)","TP93(x,y) ⇒ E55(y)","TP93(x,y) ⇔ (∃ z)[E77(z) ∧ P93(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E64 End of Existence, _P93 took out of existence (was taken out of existence by)_, E77 Persistent Item, _P2 has type_, E55 Type",,"NTP93","did not take out of existence persistent item of type","volcano eruption did not destroy villas","NTP93(x,y) ⇒ E64(x)","NTP93(x,y) ⇒ E55(y)"
"P13","destroyed (was destroyed by)","E6","Destruction","E18","Physical Thing",,"TP13","destroyed physical thing of type","volcano eruption destroyed houses","TP13(x,y) ⇒ E6(x)","TP13(x,y) ⇒ E55(y)","TP13(x,y) ⇔ (∃ z)[E18(z) ∧ P13(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E6 Destruction, _P13 destroyed (was destroyed by)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP13","did not destroy physical thing of type","volcano eruption did not destroy villas","NTP13(x,y) ⇒ E6(x)","NTP13(x,y) ⇒ E55(y)"
"P100","was death of (died in)","E69","Death","E21","Person",,"TP100","was death of person of type",,"TP100(x,y) ⇒ E69(x)","TP100(x,y) ⇒ E55(y)","TP100(x,y) ⇔ (∃ z)[E21(z) ∧ P100(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E69 Death, _P100 was death of (died in)_, E21 Person, _P2 has type_, E55 Type",,"NTP100","was not death of person of type",,"NTP100(x,y) ⇒ E69(x)","NTP100(x,y) ⇒ E55(y)"
"P124","transformed (was transformed by)","E81","Transformation","E77","Persistent Item",,"TP124","transformed persistent item of type","refurbishment transformed building of type church","TP124(x,y) ⇒ E81(x)","TP124(x,y) ⇒ E55(y)","TP124(x,y) ⇔ (∃ z)[E77(z) ∧ P124(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E81 Transformation, _P124 transformed (was transformed by)_, E77 Persistent Item, _P2 has type_, E55 Type",,"NTP124","did not transform persistent item of type","refurbishment did not transform building of type school","NTP124(x,y) ⇒ E81(x)","NTP124(x,y) ⇒ E55(y)"
"P15","was influenced by (influenced)","E7","Activity","E1","CRM Entity",,"TP15","was influenced by entity of type","production was influenced by a document of type “production planning document”","TP15(x,y) ⇒ E7(x)","TP15(x,y) ⇒ E55(y)","TP15(x,y) ⇔ (∃ z)[E1(z) ∧ P15(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E7 Activity, _P15 was influenced by (influenced)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP15","was not influenced by entity of type","production was not influenced by reports of type “market predictions”","NTP15(x,y) ⇒ E7(x)","NTP15(x,y) ⇒ E55(y)"
"P17","was  motivated by (motivated)","E7","Activity","E1","CRM Entity",,"TP17","was motivated by entity of type","conservation work was motivated by condition state of type “poor”","TP17(x,y) ⇒ E7(x)","TP17(x,y) ⇒ E55(y)","TP17(x,y) ⇔ (∃ z)[E1(z) ∧ P17(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E7 Activity, _P17 was  motivated by (motivated)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP17","was not motivated by entity of type","conservation work was not motivated by activity of type “exhibition”","NTP17(x,y) ⇒ E7(x)","NTP17(x,y) ⇒ E55(y)"
"P134","continued (was continued by)","E7","Activity","E7","Activity",,"TP134","continued activity of type","consolidation work continued cleaning work","TP134(x,y) ⇒ E7(x)","TP134(x,y) ⇒ E55(y)","TP134(x,y) ⇔ (∃ z)[E7(z) ∧ P134(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E7 Activity, _P134 continued (was continued by)_, E7 Activity, _P2 has type_, E55 Type",,"NTP134","did not continue activity of type","consolidation work did not continue cleaning work","NTP134(x,y) ⇒ E7(x)","NTP134(x,y) ⇒ E55(y)"
"P20","had specific purpose (was purpose of)","E7","Activity","E5","Event",,"TP20","had specific purpose of event of type",,"TP20(x,y) ⇒ E7(x)","TP20(x,y) ⇒ E55(y)","TP20(x,y) ⇔ (∃ z)[E5(z) ∧ P20(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E7 Activity, _P20 had specific purpose (was purpose of)_, E5 Event, _P2 has type_, E55 Type",,"NTP20","did not have specific purpose of event of type",,"NTP20(x,y) ⇒ E7(x)","NTP20(x,y) ⇒ E55(y)"
"P21","had general purpose (was purpose of)","E7","Activity","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E7 Activity, _P21 had general purpose (was purpose of)_, E55 Type, _P2 has type_, E55 Type",,"NTP21","did not have general purpose","conservation work did not have purpose to restore (i.e. only to consolidate)","NTP21(x,y) ⇒ E7(x)","NTP21(x,y) ⇒ E55(y)"
"P24","transferred title of (changed ownership through)","E8","Acquisition","E18","Physical Thing",,"TP24","transferred title of physical thing of type","purchase bought object of type book","TP24(x,y) ⇒ E8(x)","TP24(x,y) ⇒ E55(y)","TP24(x,y) ⇔ (∃ z)[E18(z) ∧ P24(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E8 Acquisition, _P24 transferred title of (changed ownership through)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP24","did not transfer title of physical thing of type","purchase did not buy objects of type musical instrument","NTP24(x,y) ⇒ E8(x)","NTP24(x,y) ⇒ E55(y)"
"P26","moved to (was destination of)","E9","Move","E53","Place",,"TP26","moved to place of type","collection move to a store room","TP26(x,y) ⇒ E9(x)","TP26(x,y) ⇒ E55(y)","TP26(x,y) ⇔ (∃ z)[E53(z) ∧ P26(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E9 Move, _P26 moved to (was destination of)_, E53 Place, _P2 has type_, E55 Type",,"NTP26","did not move to place of type","collection did not move to place of type store room","NTP26(x,y) ⇒ E9(x)","NTP26(x,y) ⇒ E55(y)"
